================================================================================
process logger: Thu May  9 16:31:35 2019
================================================================================

{'pid': 5062, 'vms': 723.390625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5068, 'vms': 794.57421875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5072, 'vms': 759.390625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5361, 'vms': 727.46875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5432, 'vms': 755.046875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5630, 'vms': 767.5234375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5668, 'vms': 687.6484375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5680, 'vms': 689.6484375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5692, 'vms': 782.8125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5730, 'vms': 720.984375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5742, 'vms': 687.20703125, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5774, 'vms': 711.15625, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 5874, 'vms': 630.34765625, 'username': 'inarvekar', 'name': 'update-notifier'}
{'pid': 6181, 'vms': 425.2578125, 'username': 'inarvekar', 'name': 'deja-dup-monitor'}
{'pid': 6247, 'vms': 689.6484375, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 6309, 'vms': 705.63671875, 'username': 'inarvekar', 'name': 'chrome'}
{'pid': 6547, 'vms': 1466.2890625, 'username': 'inarvekar', 'name': 'code'}
